name,latitude,longitude,boro,category,factype
NEW YORK PSYCHTHRPY & COUNSLNG CNTR OP,40.6592804948,-73.7690399933,QUEENS,Hospitals & Clinics,
MONTEFIORE MEDICAL CENTER - MONTEFIORE WESTCHESTER SQUARE,40.8406864622,-73.8484030513,BRONX,Hospitals & Clinics,
CENTER CARE RECOVERY OP 1,40.7380259652,-74.0010668832,MANHATTAN,Hospitals & Clinics,
"BE WELL PRIMARY HEALTH CARE CENTER, LLC",40.636463444,-73.9477110796,BROOKLYN,Hospitals & Clinics,
MEDIDENTAL CARE,40.7753390864,-73.9120909707,QUEENS,Hospitals & Clinics,
JACOBI MEDICAL CENTER,40.8564867516,-73.847549146,BRONX,Hospitals & Clinics,
"THE FAMILY CENTER, INC. OP",40.6806269705,-73.949425932,BROOKLYN,Hospitals & Clinics,
APICHA COMMUNITY HEALTH CENTER,40.718651,-74.002434,MANHATTAN,Hospitals & Clinics,
BROADWAY COMMUNITY HEALTH CENTER OF EXCELLENCE,40.6997999778,-73.9395941204,BROOKLYN,Hospitals & Clinics,
PREMIUM HEALTH,40.6301622433,-73.9708621201,BROOKLYN,Hospitals & Clinics,
FREEDOM INSTITUTE INC. OP,40.7597482676,-73.9736966429,MANHATTAN,Hospitals & Clinics,
CLIFFSIDE RENAL DIALYSIS,40.7754463115,-73.8483304832,QUEENS,Hospitals & Clinics,
RENAISSANCE HEALTH CARE NETWORK DIAGNOSTIC & TREATMENT CENTER,40.8093386512,-73.9491974841,MANHATTAN,Hospitals & Clinics,
ASCENDANT NEW YORK OP,40.7634727991,-73.9685755772,MANHATTAN,Hospitals & Clinics,
STATEN ISLAND UNIVERSITY HOSP-NORTH,40.5847678934,-74.086048225,STATEN ISLAND,Hospitals & Clinics,
"CHINATOWN DIALYSIS CENTER, LLC",40.7187739571,-73.9989812612,MANHATTAN,Hospitals & Clinics,
"PARK AVENUE DIALYSIS CENTER, LLC",40.8038524451,-73.938852809,MANHATTAN,Hospitals & Clinics,
"CREATE, INC. OP",40.8006793134,-73.9511172353,MANHATTAN,Hospitals & Clinics,
THE CENTER FOR WELLNESS AND CHANGE OP,40.8073883051,-73.9452944118,MANHATTAN,Hospitals & Clinics,
KINGS COUNTY HOSPITAL CENTER,40.6566460111,-73.9449347538,BROOKLYN,Hospitals & Clinics,
JACOBI MEDICAL CENTER (HHC) OP,40.8564867516,-73.847549146,BRONX,Hospitals & Clinics,
BUSHWICK COMMUNITY HEALTH CENTER,40.6840274509,-73.9092722251,BROOKLYN,Hospitals & Clinics,
FIRST MEDCARE PRIMARY CARE CENTER,40.6391620376,-73.9081496963,BROOKLYN,Hospitals & Clinics,
"NEW YORK CENTER FOR LIVING, INC. OP",40.7564176164,-73.9688915877,MANHATTAN,Hospitals & Clinics,
WOODHULL MEDICAL & MH CTR-HHC OP,40.6995844886,-73.9423894861,BROOKLYN,Hospitals & Clinics,
UNION SQUARE EYE CARE - HARLEM,40.8014564828,-73.9434590181,MANHATTAN,Hospitals & Clinics,
"LAFAYETTE MEDICAL APPROACH, LLC",40.7224553014,-73.9968646089,MANHATTAN,Hospitals & Clinics,
ROGOSIN KIDNEY CENTER,40.7656919345,-73.9541045873,MANHATTAN,Hospitals & Clinics,
